Source;Target;Type;Weight
skinceuticals;doesmybumlook40;Directed;1
mroca1214;influenster;Directed;1
joriecurlywhirly;garnierusa;Directed;1
rxr_style;marie_madore;Directed;2
bethany_staples;kiehls;Directed;2
mghusson;skinceuticals;Directed;1
sarammartone;belifusa;Directed;2
inez_cosmo;urbandecaycosmetics;Directed;1
asiaperez;muradskincare;Directed;1
nehabeauty;fabfitfun;Directed;1
beautybarometer;dove;Directed;1
skinceuticals;ejmosby;Directed;1
megs.makeup;rimmellondonuk;Directed;1
errbearskincare;clarisonic;Directed;2
madelinehenchal;shopbando;Directed;1
feel_good_live_better;acureorganics;Directed;1
thepositivemom;whollyart;Directed;1
beautywithtaylaparee;dermalogica;Directed;1
neutrogena;yungnastasia;Directed;1
curlyourlashes;makeupforeverofficial;Directed;2
sweett2301;cetaphilus;Directed;1
charlottesbig_loves;clemmie_telford;Directed;1
theresiest;dermalogica;Directed;1
sabrinariveraram;iconic;Directed;1
wupotarot;qvc;Directed;1
missliz812;aveenous;Directed;1
gracefullytaylored;dove;Directed;5
skin.__;__;Directed;1
meowmistidawnmakeup;uproxx;Directed;1
fatgirlsdancemovement;dove;Directed;4
meguincolleen;kammiller;Directed;1
that_cool_girl;mor;Directed;1
omega_sega;liluzivert;Directed;1
pammyscorner;kazowoman;Directed;1
melihyoutuber;itcosmetics;Directed;1
lindsayalbanese;kerrywashington;Directed;1
tanya_annais;bebellacosmetics;Directed;2
shireenlplatt;paulaschoice;Directed;1
dove;brittanybradley7;Directed;1
allthingsada;dove;Directed;1
heavenlyebony;suntegrity;Directed;1
beautyssecrets;yeshipolito;Directed;1
the_spa_dolcevita;repostapp;Directed;2
healthskincenter;healthskincenter;Directed;1
miss_ashlynnn;skinfixinc;Directed;1
satya_linak;glossier;Directed;1
xoxo.glossip.girl;colourpopcosmetics;Directed;1
mjwmakeup.xo;narsissist;Directed;1
adrilovesmakeupp;muradskincare;Directed;1
glossedcause;garnierusa;Directed;1
summatte;korresusa;Directed;1
beautydailywithjoelle;sonandpark;Directed;1
blushmaven;tonymoly;Directed;3
evil_lissa;rimmellondonus;Directed;1
beautyaddict305;shiseido;Directed;1
tenipanosian;tartecosme;Directed;1
beautystuffaddict;jordansamuelskin;Directed;12
dermalogica;glambychelsea;Directed;1
therealmrsdirtymurdee;vichyusa;Directed;1
makingthemostofskin;repostapp;Directed;1
morganrunsalot;dermalogica;Directed;1
neutrogena;trocatintas84;Directed;1
